# Aggregate Log Version: 1.00,,,,
# Log Name: logfiles/65owl_100_aggregateLog.csv,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err
0.0,1.50232832162,1.56214257237e-17,0.239927501619,4.46326449248e-18
0.0001,1.50232802703,1.12985673442e-06,0.2399905739,1.35145149237e-06
0.001,1.50239168148,3.11190024544e-06,0.240577507423,4.20066617517e-06
0.002,1.50247882388,3.85947394719e-06,0.241268390082,4.8671762459e-06
0.003,1.50257846172,4.10953924155e-06,0.241994728253,5.65684309734e-06
0.004,1.50269046949,3.82143098261e-06,0.24269125853,5.8376618569e-06
0.005,1.50279520058,4.15793033642e-06,0.243351167865,6.81490017831e-06
0.006,1.5029165237,4.41577432839e-06,0.244031794301,7.41618103893e-06
0.007,1.50306139103,4.48843055654e-06,0.244685802162,7.73974985924e-06
0.008,1.50317733258,4.20517921949e-06,0.245324119639,8.36151332367e-06
0.009,1.50328289409,4.12252084616e-06,0.245937043456,8.204592104e-06
0.01,1.50344882228,4.23766671614e-06,0.246632951547,7.81118024306e-06
0.02,1.50501904682,4.05486788298e-06,0.252964076023,9.46252871084e-06
0.03,1.50666718588,3.96784015192e-06,0.258466893759,9.65213725592e-06
0.04,1.50850362451,4.3465820732e-06,0.263588256821,1.10343904662e-05
0.05,1.51044833127,3.83759433034e-06,0.268348398341,1.14949097301e-05
0.06,1.51244568053,4.0509817915e-06,0.272755080133,1.20237587399e-05
0.07,1.51451760808,4.17954786391e-06,0.276877910606,1.26462711425e-05
0.08,1.5166119821,4.6020275844e-06,0.280676778266,1.27812473788e-05
0.09,1.51874118799,5.02970142629e-06,0.284237542181,1.2973377979e-05
0.1,1.52085986337,5.45318125577e-06,0.287576722615,1.30301858665e-05
0.2,1.54138485401,6.74584291334e-06,0.313036080859,1.45740287461e-05
0.3,1.55901529013,6.03677817748e-06,0.328093210804,1.24831050564e-05
0.4,1.57402001887,5.74300178486e-06,0.337040183702,1.12975651168e-05
0.5,1.58711867084,5.00325699596e-06,0.342129005991,1.14547231644e-05
0.6,1.59868168315,4.92184684145e-06,0.34425642858,1.13278924807e-05
0.7,1.60911081018,4.84189093427e-06,0.344437445296,1.14250110041e-05
0.8,1.61868630378,4.54430387888e-06,0.343237329274,1.03992864747e-05
0.9,1.62750360146,4.80385639134e-06,0.341089937419,9.88506128099e-06
1.0,1.63577553851,4.63920761338e-06,0.338158676583,9.29069390977e-06
2.0,1.70002833371,4.37863514634e-06,0.292797885594,7.37946859127e-06
3.0,1.74566477486,4.3560061329e-06,0.243985581129,7.64341001138e-06
4.0,1.78092743086,3.84954496911e-06,0.202195020214,6.95384775066e-06
5.0,1.80933173798,3.50736801527e-06,0.167877354771,6.54474823541e-06
6.0,1.83289555475,3.25138698373e-06,0.139486815066,5.75163932787e-06
7.0,1.85281255141,3.18779709604e-06,0.115889627178,5.4614201686e-06
8.0,1.86991260675,3.08499842258e-06,0.0960619751003,5.07420515268e-06
9.0,1.88471613385,2.78071815931e-06,0.079440127727,4.30639697648e-06
10.0,1.89764558086,2.58473408956e-06,0.0654793061062,3.6405467196e-06
15.0,1.94280161034,1.77241080625e-06,0.0235775190721,1.57639031285e-06
20.0,1.96806982712,1.33650122107e-06,0.0078267135008,6.8210173628e-07
25.0,1.98248189055,9.99133717955e-07,0.00241900786327,2.81872593937e-07
30.0,1.99065098846,7.89346743664e-07,0.000695590728309,1.19255993959e-07
35.0,1.99519081942,5.67929139362e-07,0.000184767367168,4.37495078111e-08
40.0,1.99764199387,3.53722025965e-07,4.44693418242e-05,1.33305332945e-08
45.0,1.99890485977,2.56270227842e-07,9.59913025195e-06,4.48472477919e-09
50.0,1.99952276016,1.82308634103e-07,1.82459068534e-06,1.38936278292e-09
# The data files below are included in this aggregation:,,,,
# logfiles/owl_edge/65owl/65owl_u001-20160314_030938.csv,,,,
# logfiles/owl_edge/65owl/65owl_u002-20160314_031207.csv,,,,
# logfiles/owl_edge/65owl/65owl_u003-20160314_031214.csv,,,,
# logfiles/owl_edge/65owl/65owl_u004-20160314_031247.csv,,,,
# logfiles/owl_edge/65owl/65owl_u005-20160314_031309.csv,,,,
# logfiles/owl_edge/65owl/65owl_u006-20160314_031335.csv,,,,
# logfiles/owl_edge/65owl/65owl_u007-20160314_031356.csv,,,,
# logfiles/owl_edge/65owl/65owl_u008-20160314_031358.csv,,,,
# logfiles/owl_edge/65owl/65owl_u009-20160314_031436.csv,,,,
# logfiles/owl_edge/65owl/65owl_u010-20160314_031450.csv,,,,
# logfiles/owl_edge/65owl/65owl_u011-20160314_031458.csv,,,,
# logfiles/owl_edge/65owl/65owl_u012-20160314_031511.csv,,,,
# logfiles/owl_edge/65owl/65owl_u013-20160314_031516.csv,,,,
# logfiles/owl_edge/65owl/65owl_u014-20160314_031533.csv,,,,
# logfiles/owl_edge/65owl/65owl_u015-20160314_031535.csv,,,,
# logfiles/owl_edge/65owl/65owl_u016-20160314_031544.csv,,,,
# logfiles/owl_edge/65owl/65owl_u017-20160314_031544.csv,,,,
