# Aggregate Log Version: 1.00,,,,
# Log Name: logfiles/170_100_aggregateLog.csv,,,,
# Noise%, Dimension, Dim Std Err, Variance, Var Std Err
0.0,1.98067855249,3.12428514474e-17,0.000692402603568,2.17932836547e-21
0.0001,1.980678616,1.91172490048e-09,0.000692416414431,7.13135634201e-10
0.001,1.98067927641,1.08193703023e-07,0.000692715028371,5.5554126577e-09
0.002,1.98068046907,1.42109477202e-07,0.000693254173972,1.00214203697e-08
0.003,1.98068287063,1.53922675154e-07,0.000693796905344,1.14699698275e-08
0.004,1.9806834234,1.82092070138e-07,0.000694210735326,1.34985853298e-08
0.005,1.98068444696,1.88791305829e-07,0.00069462212842,1.48941508924e-08
0.006,1.98068507931,2.07543465698e-07,0.000695074109552,1.80455237879e-08
0.007,1.98068402168,2.48270314876e-07,0.000695688153615,2.02281121619e-08
0.008,1.98068490059,2.58606379452e-07,0.000696106607487,2.22248326769e-08
0.009,1.98068528016,2.74521595501e-07,0.000696563192541,2.25112336261e-08
0.01,1.98068669203,2.9426534174e-07,0.000696970345485,2.40030504636e-08
0.02,1.98070159809,3.98736334959e-07,0.000701521407634,3.06495292423e-08
0.03,1.98071796944,4.39801487824e-07,0.000706157727251,3.72895665583e-08
0.04,1.98073725235,4.45785347275e-07,0.00071077110477,4.1752729264e-08
0.05,1.9807571554,4.4058918465e-07,0.000715233197301,4.58115980902e-08
0.06,1.9807786353,4.41913781105e-07,0.000719470555469,5.21303371117e-08
0.07,1.98080106947,4.27946211966e-07,0.000723593253259,5.59256409086e-08
0.08,1.98082415276,4.55848662119e-07,0.000727875724875,5.81062748522e-08
0.09,1.98085041843,4.73381831099e-07,0.000732079683836,6.35880167289e-08
0.1,1.98087389208,4.86637050114e-07,0.000736211446707,6.74633710845e-08
0.2,1.98112829085,5.61496091049e-07,0.000772529574613,8.42816264891e-08
0.3,1.98134067051,5.03820418984e-07,0.000801339554935,8.73246634196e-08
0.4,1.98153564215,4.52713202679e-07,0.000825956185156,8.26214886493e-08
0.5,1.98170145313,4.13055613887e-07,0.000846160122027,8.64816886023e-08
0.6,1.98185453134,3.96037372074e-07,0.000864319668173,8.42080637076e-08
0.7,1.98199541141,3.6723922779e-07,0.000880585390285,8.51903143863e-08
0.8,1.98212782876,3.30319466987e-07,0.00089381360934,8.68927025323e-08
0.9,1.98225440107,2.9156899678e-07,0.000906109096925,8.82367217449e-08
1.0,1.98237954969,3.08233557221e-07,0.000916924329109,8.34785054046e-08
2.0,1.98357658134,3.36361753934e-07,0.000963344694251,8.40169036758e-08
3.0,1.98474615958,3.72634953354e-07,0.0009472561845,8.49845050348e-08
4.0,1.98588377302,4.43592364697e-07,0.000902273160376,9.60028678064e-08
5.0,1.98697955892,5.09537453807e-07,0.000839819543587,1.02859450875e-07
6.0,1.98802367838,4.92859725906e-07,0.000766880016725,9.47766290588e-08
7.0,1.98901291975,5.38079471549e-07,0.000688698833635,9.07900488634e-08
8.0,1.98994136959,5.29442292382e-07,0.00060981871539,8.17934114571e-08
